   Epoch 143/250 ( 57.2%) | train loss 0.0478 acc  98.14% | test loss 0.3799 acc  90.53% | best  92.29% | lr 4.9e-04 | time  14.7s                               
   Epoch 144/250 ( 57.6%) | train loss 0.0388 acc  98.54% | test loss 0.3607 acc  91.63% | best  92.29% | lr 4.9e-04 | time  14.7s                               
   Epoch 145/250 ( 58.0%) | train loss 0.0409 acc  98.44% | test loss 0.4195 acc  89.87% | best  92.29% | lr 4.9e-04 | time  14.7s                               
   Epoch 146/250 ( 58.4%) | train loss 0.0336 acc  98.71% | test loss 0.4531 acc  88.88% | best  92.29% | lr 4.9e-04 | time  15.0s                               
   Epoch 147/250 ( 58.8%) | train loss 0.0459 acc  98.49% | test loss 0.4535 acc  89.65% | best  92.29% | lr 4.9e-04 | time  14.5s                               
   Epoch 148/250 ( 59.2%) | train loss 0.0419 acc  98.51% | test loss 0.3738 acc  90.31% | best  92.29% | lr 4.9e-04 | time  14.6s                               
   Epoch 149/250 ( 59.6%) | train loss 0.0547 acc  98.24% | test loss 0.3844 acc  90.20% | best  92.29% | lr 4.9e-04 | time  14.5s                               
   Epoch 150/250 ( 60.0%) | train loss 0.0522 acc  98.06% | test loss 0.3819 acc  90.97% | best  92.29% | lr 4.9e-04 | time  14.5s                               
   Epoch 151/250 ( 60.4%) | train loss 0.0430 acc  98.49% | test loss 0.3721 acc  91.19% | best  92.29% | lr 4.9e-04 | time  14.6s                               
   Epoch 152/250 ( 60.8%) | train loss 0.0367 acc  98.69% | test loss 0.3485 acc  90.75% | best  92.29% | lr 3.4e-04 | time  14.5s                               
   Epoch 153/250 ( 61.2%) | train loss 0.0355 acc  98.61% | test loss 0.3446 acc  90.42% | best  92.29% | lr 3.4e-04 | time  14.5s                               
⭐ Epoch 154/250 ( 61.6%) | train loss 0.0414 acc  98.39% | test loss 0.3287 acc  92.40% | best  92.40% | lr 3.4e-04 | time  14.5s                               
   Epoch 155/250 ( 62.0%) | train loss 0.0350 acc  98.77% | test loss 0.3719 acc  91.19% | best  92.40% | lr 3.4e-04 | time  14.8s                               
   Epoch 156/250 ( 62.4%) | train loss 0.0347 acc  98.79% | test loss 0.3609 acc  91.74% | best  92.40% | lr 3.4e-04 | time  14.5s                               
   Epoch 157/250 ( 62.8%) | train loss 0.0300 acc  98.69% | test loss 0.3362 acc  91.85% | best  92.40% | lr 3.4e-04 | time  14.4s                               
   Epoch 158/250 ( 63.2%) | train loss 0.0285 acc  98.94% | test loss 0.3799 acc  91.41% | best  92.40% | lr 3.4e-04 | time  14.4s                               
   Epoch 159/250 ( 63.6%) | train loss 0.0279 acc  99.14% | test loss 0.4104 acc  90.42% | best  92.40% | lr 3.4e-04 | time  14.4s                               
   Epoch 160/250 ( 64.0%) | train loss 0.0314 acc  98.82% | test loss 0.4148 acc  89.87% | best  92.40% | lr 3.4e-04 | time  14.5s                               
   Epoch 161/250 ( 64.4%) | train loss 0.0267 acc  99.07% | test loss 0.4165 acc  91.41% | best  92.40% | lr 3.4e-04 | time  15.1s                               
   Epoch 162/250 ( 64.8%) | train loss 0.0315 acc  98.87% | test loss 0.4304 acc  89.87% | best  92.40% | lr 3.4e-04 | time  14.9s                               
   Epoch 163/250 ( 65.2%) | train loss 0.0273 acc  98.92% | test loss 0.4036 acc  90.75% | best  92.40% | lr 3.4e-04 | time  15.0s                               
   Epoch 164/250 ( 65.6%) | train loss 0.0345 acc  98.71% | test loss 0.4236 acc  90.75% | best  92.40% | lr 3.4e-04 | time  14.8s                               
   Epoch 165/250 ( 66.0%) | train loss 0.0343 acc  98.82% | test loss 0.4440 acc  88.66% | best  92.40% | lr 3.4e-04 | time  15.3s                               
   Epoch 166/250 ( 66.4%) | train loss 0.0329 acc  98.82% | test loss 0.3758 acc  90.97% | best  92.40% | lr 3.4e-04 | time  14.6s                               
   Epoch 167/250 ( 66.8%) | train loss 0.0394 acc  98.61% | test loss 0.3978 acc  90.86% | best  92.40% | lr 3.4e-04 | time  14.8s                               
   Epoch 168/250 ( 67.2%) | train loss 0.0323 acc  98.77% | test loss 0.3980 acc  91.19% | best  92.40% | lr 3.4e-04 | time  14.6s                               
⭐ Epoch 169/250 ( 67.6%) | train loss 0.0367 acc  98.54% | test loss 0.3071 acc  92.73% | best  92.73% | lr 3.4e-04 | time  14.5s                               
   Epoch 170/250 ( 68.0%) | train loss 0.0255 acc  99.17% | test loss 0.3590 acc  92.07% | best  92.73% | lr 3.4e-04 | time  14.6s                               
   Epoch 171/250 ( 68.4%) | train loss 0.0280 acc  98.97% | test loss 0.4074 acc  90.86% | best  92.73% | lr 3.4e-04 | time  14.9s                               
   Epoch 172/250 ( 68.8%) | train loss 0.0299 acc  98.97% | test loss 0.4099 acc  90.86% | best  92.73% | lr 3.4e-04 | time  14.9s                               
   Epoch 173/250 ( 69.2%) | train loss 0.0279 acc  98.94% | test loss 0.3592 acc  91.63% | best  92.73% | lr 3.4e-04 | time  14.7s                               
